@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute outputs_annie-1 numeric
@attribute outputs_annie-2 numeric
@attribute outputs_annie-3 numeric
@attribute outputs_annie-4 numeric
@attribute outputs_annie-5 numeric
@attribute outputs_annie-6 numeric

@data
149,'2017/02/12 13:21:19:634',6,398.191742,243.45285,4.51892,0.046532,-0.063332,0.085497,13.508523,11.014465,7.643519,7.591551,2.531477,2.481774,27.755495,5.8146,0,0,0,?,?,?
150,'2017/02/12 13:21:19:676',6,398.877441,242.284241,4.540662,0.026942,-0.064988,0.083285,13.579578,11.064669,7.68644,7.625075,2.500112,2.449759,27.850054,5.865203,0,0,0,?,?,?
151,'2017/02/12 13:21:19:700',6,399.342651,240.102951,4.560126,0.025196,-0.069557,0.077967,13.619176,10.648208,7.62197,7.59767,2.454219,2.423452,28.006002,5.694221,0,0,0,?,?,?
152,'2017/02/12 13:21:19:747',6,399.330444,238.416733,4.585525,0.012627,-0.063259,0.081682,13.446141,11.006548,7.65119,7.61333,2.468682,2.444614,28.079336,5.687667,0,0,0,?,?,?
153,'2017/02/12 13:21:19:768',6,399.151215,235.423798,4.595052,0.027531,-0.06666,0.071325,13.628541,10.906732,7.708782,7.690975,2.432414,2.395323,28.166344,5.683139,0,0,0,?,?,?
154,'2017/02/12 13:21:19:814',6,398.397125,233.685822,4.613898,0.015204,-0.055449,0.065259,13.499211,11.504588,7.717867,7.677211,2.476212,2.402876,28.233706,5.719453,0,0,0,?,?,?
155,'2017/02/12 13:21:19:835',6,397.306213,231.339935,4.625148,0.027492,-0.055593,0.058364,13.265482,11.264878,7.690294,7.678234,2.514426,2.436011,28.422314,5.647239,0,0,0,?,?,?
156,'2017/02/12 13:21:19:880',6,395.652618,229.167374,4.622415,0.028266,-0.050563,0.056301,13.497229,11.099896,7.714376,7.700391,2.487369,2.40915,28.644926,5.645707,0,0,0,?,?,?
157,'2017/02/12 13:21:19:907',6,393.64035,228.101318,4.635149,0.019987,-0.038159,0.052449,13.442285,11.362877,7.750654,7.737421,2.478005,2.393032,28.522928,5.768529,0,0,0,?,?,?
158,'2017/02/12 13:21:19:948',6,390.453766,227.218094,4.630968,0.007697,-0.029702,0.053398,13.299797,11.387238,7.797073,7.789153,2.419823,2.361385,28.673716,5.703467,0,0,0,?,?,?
