@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute outputs_yue-1 numeric
@attribute outputs_yue-2 numeric
@attribute outputs_yue-3 numeric
@attribute outputs_yue-4 numeric
@attribute outputs_yue-5 numeric
@attribute outputs_yue-6 numeric

@data
368,'2017/02/12 13:42:58:711',6,98.640556,0.000826,0.327248,70.936218,0.008494,0.000111,0,1.560315,91.551537,80.337456,5.889436,0.000022,0.01667,0.00012,0.016563,0.000003,99.983192,51.227169,99.997864,90.961197,0,0.000107,44.217281,99.92099,99.929832,0.000484,73.34314,1.432541,0.577973,-9.545306,-4.599261,158.008911,0,0,0,0,0,0
369,'2017/02/12 13:42:58:746',6,98.640556,0.000826,0.327248,70.936218,0.008494,0.000111,0,1.560315,91.551537,80.337456,5.889436,0.000022,0.01667,0.00012,0.016563,0.000003,99.983192,51.227169,99.997864,90.961197,0,0.000107,44.217281,99.92099,99.929832,0.000484,73.34314,1.432541,0.577973,-9.545306,-4.599261,158.008911,0,0,0,0,0,0
370,'2017/02/12 13:42:58:760',6,98.640556,0.000826,0.327248,70.936218,0.008494,0.000111,0,1.560315,91.551537,80.337456,5.889436,0.000022,0.01667,0.00012,0.016563,0.000003,99.983192,51.227169,99.997864,90.961197,0,0.000107,44.217281,99.92099,99.929832,0.000484,73.34314,1.432541,0.577973,-9.545306,-4.599261,158.008911,0,0,0,0,0,0
371,'2017/02/12 13:42:58:811',6,98.640556,0.000826,0.327248,70.936218,0.008494,0.000111,0,1.560315,91.551537,80.337456,5.889436,0.000022,0.01667,0.00012,0.016563,0.000003,99.983192,51.227169,99.997864,90.961197,0,0.000107,44.217281,99.92099,99.929832,0.000484,73.34314,1.432541,0.577973,-9.545306,-4.599261,158.008911,0,0,0,0,0,0
372,'2017/02/12 13:42:58:816',6,98.410637,0.000635,0.23931,71.980026,0.009096,0.000175,0,0.961362,92.732628,81.422043,6.206882,0.00002,0.015431,0.000126,0.023576,0.000004,99.987259,50.270451,99.998222,89.769981,0,0.000107,40.17355,99.92099,99.930038,0.000525,73.949257,2.152428,1.370939,-9.439906,-5.202857,157.375336,0,0,0,0,0,0
373,'2017/02/12 13:42:58:829',6,98.410637,0.000635,0.23931,71.980026,0.009096,0.000175,0,0.961362,92.732628,81.422043,6.206882,0.00002,0.015431,0.000126,0.023576,0.000004,99.987259,50.270451,99.998222,89.769981,0,0.000107,40.17355,99.92099,99.930038,0.000525,73.949257,2.152428,1.370939,-9.439906,-5.202857,157.375336,0,0,0,0,0,0
374,'2017/02/12 13:42:58:879',6,98.410637,0.000635,0.23931,71.980026,0.009096,0.000175,0,0.961362,92.732628,81.422043,6.206882,0.00002,0.015431,0.000126,0.023576,0.000004,99.987259,50.270451,99.998222,89.769981,0,0.000107,40.17355,99.92099,99.930038,0.000525,73.949257,2.152428,1.370939,-9.439906,-5.202857,157.375336,0,0,0,0,0,0
375,'2017/02/12 13:42:58:895',6,98.410637,0.000635,0.23931,71.980026,0.009096,0.000175,0,0.961362,92.732628,81.422043,6.206882,0.00002,0.015431,0.000126,0.023576,0.000004,99.987259,50.270451,99.998222,89.769981,0,0.000107,40.17355,99.92099,99.930038,0.000525,73.949257,2.152428,1.370939,-9.439906,-5.202857,157.375336,0,0,0,0,0,0
376,'2017/02/12 13:42:58:948',6,98.410637,0.000635,0.23931,71.980026,0.009096,0.000175,0,0.961362,92.732628,81.422043,6.206882,0.00002,0.015431,0.000126,0.023576,0.000004,99.987259,50.270451,99.998222,89.769981,0,0.000107,40.17355,99.92099,99.930038,0.000525,73.949257,2.152428,1.370939,-9.439906,-5.202857,157.375336,0,0,0,0,0,0
377,'2017/02/12 13:42:58:954',6,98.253189,0.000643,0.173548,75.557556,0.005275,0.000138,0,0.744049,95.254944,83.180656,7.611933,0.000023,0.013268,0.000136,0.0209,0.000005,99.990204,52.34005,99.997749,92.059135,0,0.000107,48.781902,99.92099,99.930191,0.000622,75.321739,0,1.851197,-8.581422,-6.827018,157.377426,0,0,0,0,0,0
378,'2017/02/12 13:42:58:966',6,98.253189,0.000643,0.173548,75.557556,0.005275,0.000138,0,0.744049,95.254944,83.180656,7.611933,0.000023,0.013268,0.000136,0.0209,0.000005,99.990204,52.34005,99.997749,92.059135,0,0.000107,48.781902,99.92099,99.930191,0.000622,75.321739,0,1.851197,-8.581422,-6.827018,157.377426,0,0,0,0,0,0
379,'2017/02/12 13:42:59:015',6,98.253189,0.000643,0.173548,75.557556,0.005275,0.000138,0,0.744049,95.254944,83.180656,7.611933,0.000023,0.013268,0.000136,0.0209,0.000005,99.990204,52.34005,99.997749,92.059135,0,0.000107,48.781902,99.92099,99.930191,0.000622,75.321739,0,1.851197,-8.581422,-6.827018,157.377426,0,0,0,0,0,0
380,'2017/02/12 13:42:59:032',6,98.253189,0.000643,0.173548,75.557556,0.005275,0.000138,0,0.744049,95.254944,83.180656,7.611933,0.000023,0.013268,0.000136,0.0209,0.000005,99.990204,52.34005,99.997749,92.059135,0,0.000107,48.781902,99.92099,99.930191,0.000622,75.321739,0,1.851197,-8.581422,-6.827018,157.377426,0,0,0,0,0,0
381,'2017/02/12 13:42:59:042',6,97.541092,0.00049,0.143887,81.931816,0.001703,0.00009,0,0.64152,92.52874,84.015388,8.700887,0.00002,0.005087,0.000154,0.023921,0.000004,99.992012,53.112347,99.998215,92.2397,0,0.000107,51.338913,99.92099,99.93026,0.000519,73.743279,0,3.59722,-8.608142,-5.457829,156.988205,0,0,0,0,0,0
382,'2017/02/12 13:42:59:083',6,97.541092,0.00049,0.143887,81.931816,0.001703,0.00009,0,0.64152,92.52874,84.015388,8.700887,0.00002,0.005087,0.000154,0.023921,0.000004,99.992012,53.112347,99.998215,92.2397,0,0.000107,51.338913,99.92099,99.93026,0.000519,73.743279,0,3.59722,-8.608142,-5.457829,156.988205,0,0,0,0,0,0
383,'2017/02/12 13:42:59:099',6,97.541092,0.00049,0.143887,81.931816,0.001703,0.00009,0,0.64152,92.52874,84.015388,8.700887,0.00002,0.005087,0.000154,0.023921,0.000004,99.992012,53.112347,99.998215,92.2397,0,0.000107,51.338913,99.92099,99.93026,0.000519,73.743279,0,3.59722,-8.608142,-5.457829,156.988205,0,0,0,0,0,0
384,'2017/02/12 13:42:59:141',6,97.999634,0.000523,0.141346,85.655289,0.000919,0.000112,0,0.793229,87.755623,86.894974,8.746375,0.000016,0.012034,0.00018,0.027895,0.000003,99.993988,46.33131,99.998459,92.74942,0,0.000107,31.661076,99.92099,99.930275,0.000378,70.877342,4.128899,2.541844,-8.5161,-5.915356,154.666245,0,0,0,0,0,0
